PracticeCode,Sex,Attribute,Value
13532,Female,Ages 25 to 44,991
13532,Female,Ages 45 to 64,1334
13532,Female,Ages 65 to 74,538
13532,Female,Ages 75 to 84,475
13532,Female,Ages 85 plus,145
13571,Male,Ages 0 to 4,251
13571,Male,Ages 5 to 14,661
13571,Male,Ages 15 to 24,550
13571,Male,Ages 25 to 44,1202
13571,Male,Ages 45 to 64,1417
13571,Male,Ages 65 to 74,620
13571,Male,Ages 75 to 84,522
13571,Male,Ages 85 plus,165
13571,Female,Ages 0 to 4,228
13571,Female,Ages 5 to 14,644
13571,Female,Ages 15 to 24,547
13571,Female,Ages 25 to 44,1308
13571,Female,Ages 45 to 64,1511
13571,Female,Ages 65 to 74,739
13571,Female,Ages 75 to 84,613
13571,Female,Ages 85 plus,301
13621,Male,Ages 0 to 4,150
13621,Male,Ages 5 to 14,405
13621,Male,Ages 15 to 24,365
13621,Male,Ages 25 to 44,834
13621,Male,Ages 45 to 64,957
13621,Male,Ages 65 to 74,423
13621,Male,Ages 75 to 84,228
13621,Male,Ages 85 plus,80
13621,Female,Ages 0 to 4,147
13621,Female,Ages 5 to 14,353
13621,Female,Ages 15 to 24,351
13621,Female,Ages 25 to 44,828
13621,Female,Ages 45 to 64,1011
13621,Female,Ages 65 to 74,437
13621,Female,Ages 75 to 84,299
13621,Female,Ages 85 plus,122
13660,Male,Ages 0 to 4,97
13660,Male,Ages 5 to 14,276
13660,Male,Ages 15 to 24,272
